FBgn0052820,CG32820,"dmel\cg17450, dmel\cg32819, dmel\cg32820, q9i805, tektin"
FBgn0027588,CG14476,"alpha-glucosidase, bcdna:gh04962, clot#312, dmel\cg14476, glucosidase ii"
FBgn0052230,CG32230,"bcdna:re56733, best:gh04411, dmel\cg32230, fban0032230, fbgn0043838, fbgn0047088, nadh ubiquinone oxidoreductase mlrq, nadh:ubiquinone oxidoreductase mlrq subunit"
FBgn0262141,CG42867,dmel\cg42867
FBgn0262142,CR42868,cg42868
FBgn0262143,CG42869,dmel\cg42869
FBgn0262144,CG42870,dmel\cg42870
FBgn0262146,MtnE,"cg42872, cg42872-pa, cg42872-ra, dmel\cg42872, dmg8-chr3r.29.007"
FBgn0262148,CR42874,
FBgn0262149,CR42875,
FBgn0262150,CG42876,dmel\cg42876
FBgn0262160,CG9932,"dmel\cg9932, ef4a, elf-4a, elongation factor 4a, ep2317, fbgn0032469, fbgn0043346"
FBgn0262163,betaNACtes5,"cr42877, cr42877-ra"
FBgn0262166,calypso,"bap1, calypso, cg8445, cg8445-pa, cg8445-pb, cg8445-ra, cg8445-rb, dmel\cg8445, fbgn0034088, fbgn0260028, q7k5n4, ubiquitin thiolesterase"
FBgn0262167,ana1,"ana-1, ana1, anastral spindle phenotype 1, cg6631, cg6631-pa, cg6631-ra, dmel\cg6631, fbgn0039206, fbgn0043880, mecb, mechanosensory b, mechanosensory mutant b"
FBgn0262169,magu,"cg2264, cg2264-pa, cg2264-pb, cg2264-pd, cg2264-pf, cg2264-ra, cg2264-rb, cg2264-rd, cg2264-rf, ct7504, dmel\cg2264, fbgn0033478, fbgn0259114, pent, pentagone"
FBgn0262170,CG42878,"chr2r_15474834_15475129.0, dmel\cg42878"
FBgn0262172,mir-307b,"cr42879, cr42879-ra, cr42879-rb, cr42879-rm, dme-mir-307-as, mir-307, mir-307-as, mir-307-as stem loop, mir-307-as-ra, mir-307-as-rb, mir-307-as-rm"
FBgn0262174,mir-993,"cr42881, cr42881-ra, cr42881-rm, dme-mir-993, mir-993"
FBgn0262177,mir-375,"cr42884, cr42884-ra, cr42884-rm, dme-mir-375, mir-375"
FBgn0262178,mir-981,"cr42885, cr42885-ra, cr42885-rm, mir-981"
FBgn0262180,mir-2283,"cr42887, cr42887-ra, cr42887-rm, mir-2283"
FBgn0262181,mir-972,"cr42888, cr42888-ra, cr42888-rm, mir-972"
FBgn0262182,mir-957,"cr42889, cr42889-ra, cr42889-rm, mir-957"
FBgn0262185,mir-995,"995, cr42892, cr42892-ra, cr42892-rb, cr42892-rm, mir-20072, mir-995"
FBgn0262187,mir-970,"970, cr42894, cr42894-ra, cr42894-rm, dme-mir-970, mir-970"
FBgn0262189,mir-2500,"cr42896, cr42896-ra, cr42896-rb, cr42896-rm, dme-mir-2500"
FBgn0262191,mir-2497,"cr42898, cr42898-ra, cr42898-rb, cr42898-rm, dme-mir-2497"
FBgn0262194,mir-2489,"cr42901, cr42901-ra, cr42901-rm, dme-mir-2489, mir-2489"
FBgn0262200,mir-962,"cr42907, cr42907-ra, cr42907-rm, mir-962"
FBgn0262201,mir-973,"cr42908, cr42908-ra, cr42908-rm, mir-973"
FBgn0262203,mir-967,"cr42910, cr42910-ra, cr42910-rm, mir-967"
FBgn0262204,mir-2279,"cr42911, cr42911-ra, cr42911-rb, cr42911-rm, mir-2279"
FBgn0262205,mir-932,"cr42912, cr42912-ra, cr42912-rm, dme-mir-932, mir-932"
FBgn0262210,mir-927,"cr42917, cr42917-ra, cr42917-rm, mir-927"
FBgn0262211,mir-2498,"chou22, cr42918, cr42918-ra, cr42918-rb, cr42918-rm, dme-mir-2498"
FBgn0262213,mir-2495,"cr42920, cr42920-ra, cr42920-rb, cr42920-rm"
FBgn0262214,mir-929,"cr42921, cr42921-ra, cr42921-rm, mir-929"
FBgn0262215,mir-989,"cr42922, cr42922-ra, cr42922-rm, dme-mir-989, mir-989"
