FBgn0031081,Nep3,"cec, cg9565, cg9565-pa, cg9565-ra, dmel\cg9565, dmenep3, dnep3, nep3"
FBgn0052826,tRNA:CR32826,"ae002611.trna1-procgg, chrx.trna15-procgg, cr32826, cr32826-ra, fbgn0060115, trna:p:cgg:ae002611"
FBgn0031085,CG9570,dmel\cg9570
FBgn0062565,Or19b,"cg32825, cg32825-pa, cg32825-ra, dmel\cg32825, fbgn0052825"
FBgn0031088,CG15322,dmel\cg15322
FBgn0041626,Or19a,"19a, 19a.1, cg18859, cg18859-pb, cg18859-rb, dmel\cg18859, dor37, fbgn0042176, or19a-1"
FBgn0040784,karr,"cg15323, cg15323-pa, cg15323-ra, dmel\cg15323"
FBgn0031086,fd19B,"cg9571, cg9571-pa, cg9571-ra, dmcg9571, dmel\cg9571"
FBgn0031082,CG17003,"dmel\cg17003, q8t8w1"
FBgn0031080,CG12655,dmel\cg12655
FBgn0052821,CR32821,cg32821
FBgn0053217,CG33217,"bcdna:re15216, dmel\cg33217, fban0033217, fbgn0063058"
FBgn0052350,CG32350,"bcdna:ld20292, dmel\cg32350, fban0032350, fbgn0062459, vacuolar protein sorting 11, vps11"
FBgn0024733,RpL10,"anon-est:posey179, bcdna:ld24589, cg17521, dmel\cg17521, dqm, fban0017521, fbgn0026279, fbgn0064923, l10, q0e8b5, q86ny2, q9i813, q9w5t1, qm, qm-pc, qm-pd, qm-rc, qm-rd, ribosomal protein l10, ribosome rl10, rp l10"
FBgn0040372,G9a,"cab65850 g9a dm, cg2995, cg2995-pa, cg2995-ra, dg9a, dmel\cg2995, eg:bacr37p7.2, eg:bacr37p7.2-ra, ehmt, euchromatin histone methyltransferase, fbgn0029516, histone methyltransferase"
FBgn0000316,cin,"cg2945, cg2945-pa, cg2945-pb, cg2945-rb, cin, dmel\cg2945, eg:bacr37p7.3, fbgn0026665, fs(1)m50, l(1)1ae, l(1)g0142, q0khx9, q9u1m0, q9v3e2"
FBgn0024989,CG3777,"best:ck01670, ck01670, dmel\cg3777, eg:125h10.1, fbgn0025695"
FBgn0040371,CG12470,"dmel\cg12470, eg:bacr37p7.5, eg:bacr37p7.5-ra, fbgn0029520, fbgn0045261, fbgn0045377, nest:bs07e10, nest:bs17h08"
FBgn0029521,Or1a,"1a, 1a.1, cg17885, cg17885-pa, cg17885-ra, dmel\cg17885, dor68, or1a"
FBgn0004034,y,"cg3757, cg3757-pa, dmel\cg3757, eg:125h10.2, q9w5g5, t6, y, yellow"
